source_id,ra,dec,l,b,parallax,parallax_error,phot_g_mean_mag,bp_rp,ruwe,ag_gspphot,abs_mag_g,parallax_over_error
4071625633699805568,280.00694020116117,-28.659479208257146,5.9212319597047856,-10.359662186626691,0.7282101203549717,0.0218374,13.878477,0.69778347,0.9478914,0.5656,2.6241606699881146,33.346923684519005
4071637964500630912,280.0942311361889,-28.45866015870717,6.139082224306794,-10.342927463860875,0.592688124375182,0.048669793,15.920388,1.1843195,0.9627991,0.1503,4.634219352687367,12.177740880993706
4071648517288485504,280.57690305180284,-28.389076071816454,6.387372422418313,-10.697098679917884,0.1789875059262987,0.015605313,12.41718,2.1457796,0.9549065,,-1.3187063562921288,11.469651940995185
4071648723429007104,280.5767217744617,-28.35366160194609,6.419918957535768,-10.681887571299047,0.4529668107189175,0.074142694,16.932043,1.0588951,0.98566294,0.0702,5.142174982056023,6.109392353986303
4071655629753651200,280.6132161627429,-28.281638635052435,6.500157109781398,-10.680318162726712,0.2792870344823723,0.018445572,13.841737,1.2645683,1.0176378,0.845,0.22699063812354936,15.141142613033574
4071744518385125504,281.5980579545472,-27.76184850062937,7.354534673700687,-11.248170093675084,1.6143763997004195,0.03385143,15.189167,1.2236204,0.96753484,0.3785,5.850691008464434,47.69005056157841
4071759086915475584,281.0838897607542,-27.948162686787384,6.986915656153296,-10.914678986015753,1.6724148803300658,0.025927123,14.613167,1.0985479,0.91908395,0.2681,5.461786930792542,64.504453533892
4071790594797736320,281.2490443979977,-27.630547215076053,7.34295839357775,-10.91259988239911,0.719879765827183,0.018941343,12.903688,0.63262177,0.88480467,0.3744,1.8155882745005822,38.00574078950752
5947444452625324416,267.79926856902273,-49.407801174668926,342.7776673023998,-11.290802228921693,0.6022387982113877,0.11907573,17.684404,1.5107193,0.955954,0.2306,6.352648027551954,5.057611622207664
5947459334707287040,267.68106278418054,-49.028109298660056,343.0786087393279,-11.039888806998423,0.28720690169092267,0.027855005,14.892722,1.343585,0.95254356,0.7483,1.4353964736803881,10.31078258655464
