time,mag,mag_err
2457008.7757882,10.607227464858756,0.0008711630567999119
2457009.7723411,10.453718748659444,0.0009828338802391025
2457011.7683152,10.482910503011524,0.0008686579358147743
2457012.7753075,10.575066193617744,0.0005887214150824886
2457021.7413935,10.466460928369699,0.0009898882293222797
2457037.7216286,10.504623360815073,0.0007182482687898828
2457039.7195264,10.508426129307677,0.0006844263887924655
2457040.7143918,10.488754998354697,0.0008379389054091851
2457041.7032112,10.59856427007028,0.0012434215052323767
2457042.7036317,10.561630529441555,0.0008524683676888236
2457043.7054705,10.584343246704226,0.001293780420009038
2457044.7059691,10.460734236339306,0.0015212505062860077
2457045.7078274,10.625022305528072,0.0010790352444595918
2457046.7083875,10.46923960685187,0.0010759143705160574
2457047.7087293,10.653359043290806,0.0012410181818589994
2457048.7077271,10.440070355706666,0.0013312922815032348
2457176.0949298,10.516992909698242,0.0010891294727186343
2457177.0920621,10.53850418967172,0.000857934344193238
2457180.0976064,10.5529663175201,0.0008182586889256386
2457183.0919555,10.5226105855533,0.0006885568966176267
2457189.0702851,10.52828146233815,0.0005571212799689677
2457194.0681039,10.643691332499625,0.001128035046681459
2457198.0752031,10.716832094207295,0.0015639321436982261
2457203.0369814,10.535069992167763,0.0006459713251615863
2457205.0277582,10.514637612765236,0.001087317614049171
2457209.0864808,10.48826335400705,0.0008859371618549416
2457213.0628661,10.475266946982407,0.0009209742143625572
2457217.9977194,10.718952402900774,0.0015776560599052854
2457223.0104798,10.510851183411143,0.0006906675170952565
2457229.9591909,10.523458868402882,0.0005685507424591783
2457231.9572403,10.558093735989845,0.0007255879419324511
2457238.0332246,10.494095556541069,0.0009495948362062092
2457241.9985829,10.486472131071256,0.0008465879936918022
2457243.9776044,10.499519727979647,0.000772856335222532
2457248.024473,10.669245117137612,0.0013114906390978992
2457256.0284314,10.48611450638062,0.0008317425633946671
2457263.0620507,10.70651001116212,0.001594108582102496
2457272.0939281,10.510511908257447,0.0006755985577255308
2457273.9297068,10.486909616324391,0.0008201401458345122
2457275.8736601,10.804549552810123,0.002022921211287709
2457290.8537037,10.51926256698069,0.000728343653723404
2457297.9553372,10.51709703557391,0.0006667937053564883
2457298.8679309,10.515176498122907,0.0006814157812851057
2457303.959476,10.492111640486822,0.0007887392655493626
2457305.9053296,10.549668300552828,0.0002473019665824198
2457314.7998192,10.823986281065178,0.0021746723601150566
2457317.8817686,11.301864875693607,0.004962225553595392
2457319.6984635,10.78978978641834,0.002079390287336374
2457323.7659914,10.772297133901903,0.0019498485749246202
2457324.7003339,10.499597288870577,0.0007670268273497607
2457328.7789472,10.735632020042875,0.0017058067646274536
2457329.937579,10.787503126715677,0.0019410133882792457
2457330.8788667,10.530214755011144,0.0005341833249681017
2457334.8506265,10.507356760823647,0.0007076620499036116
2457344.7294283,10.879995199041385,0.0024591473735154253
2457356.6955447,10.49684918695949,0.000770386923197766
2457358.7644303,10.519324117475836,0.0005999882575969769
2457362.841708,10.486962819461736,0.0008230790810410241
2457365.7957779,10.457712418769113,0.0009782549729888683
2457369.7988416,10.466718897982483,0.0009639660054921965
2457370.8162117,10.64883577735868,0.001147826359574778
2457378.7871588,10.851322020570791,0.002416260482229593
2457385.7718132,10.487076729656588,0.00082667079111361
2457388.7272929,10.659164603704772,0.0012046163960620741
2457391.7551415,10.468148571343232,0.000914748109309399
2457399.7242602,10.510568338890964,0.0006780908714040339
2457405.7163998,10.511086993011933,0.0007396035101657241
2457406.7129377,10.506331657113003,0.0008055846852653539
2457410.7084339,10.497535371921849,0.001157091664243578
2457411.7086886,10.51429874943924,0.000884598167780709
2457412.7060819,10.48678444092304,0.0011043012949303972
2457532.1163635,10.512700559961656,0.0009612603905658927
2457538.1135392,10.550550195453962,0.0004729864366005198
2457541.1032812,10.636375161024425,0.0011066525118541618
2457545.0790246,10.59907320729739,0.0008073451445361104
2457553.0724154,10.554120277368375,0.00033600124672111386
2457562.0477807,10.5456091651693,0.0005954796662118993
2457574.0254266,10.63927815966924,0.0010931195483192373
2457579.048339,10.55859884865125,0.0003978319172771652
2457587.0505766,10.506527228935362,0.0008064731148455652
2457589.973954,10.804231366794259,0.0021490569879545392
2457596.0671577,10.834264531873384,0.0021971020194939124
2457599.0396934,10.525881411409193,0.0005524830251081139
2457603.0303743,10.49908291736573,0.0007579743981252941
2457605.9266078,10.602111696667453,0.0008141189860478509
2457610.1065666,10.59628793587445,0.0007842115933279774
2457612.9052127,10.574723223359577,0.0006902285304693801
2457615.0962639,10.489691850154593,0.000807579507341327
2457616.9022955,10.510539778406816,0.0007924308450842208
2457619.968483,10.516362241590524,0.0008127824268874432
2457625.9610904,10.555882218678263,0.00040748265728834737
2457631.0449267,10.53764428148802,0.0004344845864260006
2457637.9910255,10.51246962871593,0.0006713350732194749
2457643.8336633,10.515540234461993,0.0007047149611299516
2457650.974993,10.798546878685736,0.0020413629881884483
2457652.893802,10.785514118023995,0.001967314252331781
2457656.9480642,10.727134349865196,0.001611845544324465
2457660.9718646,10.642952377530609,0.0011039108480976104
2457667.9449655,10.554476356786731,0.00035836099442748063
2457669.8176649,10.538296677732784,0.00044390072768054316
