source_id,asassn_id,label,ra,dec,l,b,bp_rp,phot_g_mean_mag,abs_mag_g,parallax,parallax_error,parallax_over_error,ruwe,separation_arcsec,crossmatch_quality_ok,variability_group,period,lomb_scargle_period,period_source,period_power,period_alias_flag,catalog_period,period_catalog_ratio,amplitude_p95_p05,amplitude_max_min,median_mag,std_mag,iqr_mag,skewness,eta_index,stetson_j,n_points,is_periodic_label,feature_source,label_model
5937082247111854848,J164627.33-513227.8,L,251.61386067502823,-51.54105945499765,335.14337882544373,-4.010476591472609,3.3843927,10.655378,-1.4909119553086025,0.3721705540060401,0.037119865,10.02618285400661,1.0782588,0.0024766588757064215,True,irregular,1.0000174656962313,1.0000174656962313,lomb_scargle_no_catalog,0.13183635139596464,True,,,0.33470106889470763,1.1201796326255806,13.094664739733215,0.14796893849666656,0.145676317943515,-2.57869099449788,0.38061130058288095,12.979154394179792,984,False,lightcurve,L
5902647428334535936,J152047.62-483322.5,SR,230.1984313152491,-48.55624968622912,326.8045788074056,7.269586569169253,3.1032715,12.494673,-1.2330622964132942,0.179660639294528,0.030921701,5.810179695306154,1.2051563,0.003331307712318128,True,irregular,32.619,0.4992989918216564,catalog_replaced_daily_alias,0.16587594203343212,True,32.619,0.015306998737596382,0.21963820077157692,0.44681285203185794,14.309664031436352,0.06651946443333724,0.08053673757172497,0.3710501210398782,0.8171273095511621,2.8600271168858242,982,False,lightcurve,SR
5542502467681492480,J083519.41-351948.7,SR,128.83087188058718,-35.33018978391668,255.6646484180727,3.111406799468364,2.8756332,12.226301,-0.7397272419061771,0.2551492826288354,0.020009862,12.751176526296653,1.2588538,0.00557779304496541,True,irregular,23.86579895115832,23.86579895115832,lomb_scargle,0.1100497601818024,False,23.892,0.9989033547278722,0.14328232707290844,0.3097032027990405,13.94917169775865,0.044746629397139796,0.06291683969143591,0.17736205061444107,1.0407955589322608,2.273831369138649,1206,False,lightcurve,SR
6030107179908899200,J170234.09-282326.4,SR,255.64204241159837,-28.390669423394208,355.1405288025611,8.122104100884103,3.5137768,11.28969,-0.48814446734132844,0.4409944324423648,0.05891877,7.4847868080471605,1.3330635,0.007914623430859585,True,irregular,33.085,0.9977672179007702,catalog_replaced_daily_alias,0.11453832833869793,True,33.085,0.030157691337487386,0.23778270126345014,0.9140904928349514,13.42010939338617,0.07630849663157802,0.09988101996080623,-0.29225961552830027,0.6003171282142646,5.9685609489944484,1783,False,lightcurve,SR
423159251960945024,J000022.54+590559.3,SR,0.0939034318963239,59.099808483993634,116.40656639447263,-3.123483344869669,3.7339344,13.601073,-4.3143091601077685,0.1142203713977657,0.021645911,5.2767643458279805,1.1389215,0.00836907888972852,True,irregular,264.92,0.9974528326431457,catalog_replaced_daily_alias,0.5561647506607313,True,264.92,0.003765109590227788,1.1748028328543345,1.6888922330606242,15.930776134061187,0.42177875939652987,0.8527951493709196,-0.5071882009865482,0.41600388241979697,10.784031235768806,749,False,lightcurve,SR
424416131191842048,J005102.07+580724.1,EW,12.758626274230556,58.12337128120189,122.87847655206208,-4.748336856984111,1.1750851,15.309223,4.865358944737097,0.8216506231262435,0.026500884,31.0046496232444,1.0072163,0.008452511359893684,True,periodic,0.31574,0.9974564002749627,catalog_replaced_daily_alias,0.3810199823363936,True,0.31574,3.1591068609455966,0.7428517258330523,1.0254723276663107,15.59311968153622,0.21876220390415677,0.24449330796505642,-0.18552193572402806,1.128208123037469,3.3816101435499997,737,True,lightcurve,EW
423311259446113536,J000216.80+595807.5,SR,0.5700153403570616,59.96874949419456,116.81180821467898,-2.3175845023406274,3.7144327,11.427564,-1.0168783502868024,0.3244229207889305,0.027308919,11.879742321141693,0.89804906,0.008590482747746231,True,irregular,390.01,0.9974590636028272,catalog_replaced_daily_alias,0.5700200461862078,True,390.01,0.0025575217650901957,2.463409460992187,3.4641032887794587,13.652856047354621,0.7355430335502836,0.970220172153093,-0.4747921574099551,0.32269135102906077,65.42540616221812,1982,False,lightcurve,SR
6027729417300729600,J165456.69-311836.8,SR,253.73618786461088,-31.31022824067664,351.7874686376059,7.649101510666966,3.302557,12.627054,-1.0874052248137769,0.1807624233789758,0.033097353,5.461537162170515,0.94245154,0.00912418462414755,True,irregular,78.788,1.0002307285948873,catalog_replaced_daily_alias,0.2961139470906445,True,78.788,0.012695216639524894,1.379263913949444,2.2014332648915875,14.835475306206378,0.40805620265896503,0.3906818361671718,-0.9764506226188022,0.21470261825769643,15.771518733396586,1083,False,lightcurve,SR
6030075259712472704,J170220.81-285242.3,SR,255.58670090588112,-28.878432461903262,354.71747870535927,7.86761810922289,3.5625029,12.586478,-1.0953467740115066,0.183499567593127,0.035471134,5.173208378202033,0.83000016,0.009311540339681776,True,irregular,44.71650509048954,44.71650509048954,lomb_scargle,0.0966533148953636,False,32.169,1.3900495847085563,0.20381350638554352,0.7228890679879747,14.550526391054548,0.06525127468461052,0.07684782665891454,-0.1947631551547431,1.2434089424533885,1.327372284307032,1781,False,lightcurve,SR
5902560296359891840,J151946.60-490710.5,SR,229.94417135975928,-49.11957265060589,326.355025430488,6.887082217104931,4.3526793,11.933495,-0.5363883542658243,0.3206441561409303,0.054916065,5.838804294170209,1.1667447,0.01006565573653668,True,irregular,581.02,0.9987022502257005,catalog_replaced_daily_alias,0.1150693897991875,True,581.02,0.0017188775777524019,0.2802904720050847,0.5256489721844204,14.051566891011452,0.08657520058581004,0.1272972326244215,0.29552190265330147,1.4331351487971133,2.918327377155586,984,False,lightcurve,SR
