source_id,ra,dec,l,b,parallax,parallax_error,phot_g_mean_mag,bp_rp,ruwe,ag_gspphot,abs_mag_g,parallax_over_error
4071625633699805568,280.0069402011612,-28.659479208257142,5.9212319597047856,-10.359662186626691,0.7282101203549717,0.0218374,13.878477,0.69778347,0.9478914,0.5656,2.624160551400621,33.346924100624236
4071637964500630912,280.0942311361889,-28.45866015870717,6.139082224306794,-10.342927463860876,0.592688124375182,0.048669793,15.920388,1.1843195,0.9627991,0.1503,4.634219127084263,12.177740808866435
4071648517288485504,280.57690305180284,-28.38907607181645,6.387372422418313,-10.697098679917884,0.1789875059262987,0.015605313,12.41718,2.1457796,0.9549065,,-1.3187064176324625,11.469651773488856
4071648723429007104,280.5767217744617,-28.35366160194609,6.419918957535768,-10.681887571299049,0.4529668107189175,0.074142694,16.932043,1.0588951,0.98566294,0.0702,5.142174910178067,6.109392392983691
4071655629753651200,280.6132161627429,-28.281638635052435,6.500157109781398,-10.680318162726712,0.2792870344823723,0.018445572,13.841737,1.2645683,1.0176378,0.845,0.22699087321571265,15.141142518235394
4071744518385125504,281.5980579545472,-27.76184850062937,7.354534673700687,-11.248170093675084,1.6143763997004197,0.03385143,15.189167,1.2236204,0.96753484,0.3785,5.8506910003028905,47.690050308079144
4071759086915475584,281.0838897607542,-27.948162686787384,6.986915656153296,-10.914678986015751,1.6724148803300658,0.025927123,14.613167,1.0985479,0.91908395,0.2681,5.461787115177842,64.50445274356379
4071790594797736320,281.2490443979977,-27.630547215076053,7.34295839357775,-10.91259988239911,0.719879765827183,0.018941343,12.903688,0.63262177,0.88480467,0.3744,1.8155878335578186,38.00574044972329
5947444452625324416,267.7992685690228,-49.407801174668926,342.7776673023998,-11.290802228921692,0.6022387982113877,0.11907573,17.684404,1.5107193,0.955954,0.2306,6.352647653810805,5.057611641023638
5947459334707287040,267.68106278418054,-49.028109298660056,343.0786087393279,-11.039888806998423,0.2872069016909226,0.027855005,14.892722,1.343585,0.95254356,0.7483,1.435396359784971,10.310782629223102
5947478816685041152,267.85416554735275,-49.02699018604967,343.1354678178626,-11.138736059593889,0.6733643066356946,0.056994896,10.256373,3.2775946,1.0249391,,-0.6023765410315818,11.814466801302602
5947501562827918208,267.2149209753536,-49.12315043190654,342.84281313771976,-10.819272707468288,0.7647184925716088,0.045356173,16.290522,1.2094994,0.9467231,0.1186,5.589429962548539,16.86029578755705
5947506987348006272,267.5064421224224,-48.98833582067696,343.0574712814799,-10.920426121023002,0.1568609108197758,0.014662786,12.480038,1.6598158,0.9240834,0.559,-2.1013883378430096,10.697892666494335
5947514168537098240,267.1077945252313,-49.02398400280308,342.8958992855301,-10.709550282851485,0.1416354519236462,0.026645724,12.513486,3.119604,1.0242337,,-1.7306541369127721,5.315503978186001
5947519601691316352,266.8003307574822,-48.89823346462892,342.90630762739886,-10.471935830399616,0.41605473650296,0.016238112,13.9369335,1.6014929,0.9985624,,2.0326858526218086,25.622112749496985
5947532379201417600,267.42194796515764,-48.829945903834215,343.170869545312,-10.794853330650543,0.3615878363055252,0.030124571,11.792058,2.190569,1.2543963,,-0.4168729373639266,12.003086659907131
5947544306344717824,267.33989143502384,-48.60373229346415,343.3449634329847,-10.637237063595675,1.4179670949985637,0.029340904,15.202638,1.3842049,0.9436363,1.156,4.8049687641563965,48.32731448896611
5947560863424501632,267.04670963213124,-48.35569198691997,343.4678778318247,-10.346226720689865,0.6058101428393307,0.01770838,13.021332,0.5870962,0.97089154,0.2869,1.6461147013912207,34.21036497067099
5947572820606192128,269.5999382001037,-49.42755565938426,343.3247047457289,-12.33282837720946,0.9700934611078704,0.012860156,12.17263,0.8065653,0.93274933,0.1525,1.954197886218372,75.43403525648293
5947573851398537600,269.7380361672129,-49.39003096881936,343.40124541107025,-12.395214740081258,0.5056542775302185,0.05620797,16.587217,1.1653662,1.0915259,0.0574,5.049085427307891,8.9961312876131
5947578867932638080,269.81761920563554,-49.27940083022977,343.52624007676224,-12.390279914201743,0.5985231126463213,0.10446876,17.66611,1.1847534,1.0088367,0.0164,6.535114629192084,5.729206632167562
5947588355519556608,269.3308719745764,-49.36513430734968,343.2981779014364,-12.148737672441774,0.900463217810397,0.017348386,13.736634,0.65430546,0.9638543,0.2046,3.304363887120169,51.90472576586646
5947621581387475200,269.5005608272697,-48.97570336639589,343.7035478119317,-12.06585707039414,0.7219976091771527,0.020399602,12.8925905,0.50642776,1.0189911,0.3236,1.8616692972464728,35.39273017077259
5947626529189965312,269.30376913148314,-48.83039685033432,343.77335975836706,-11.883693549135408,2.480691300574,0.01530226,13.4493065,1.2376404,0.97415614,0.0265,5.395670118219959,162.1127402471269
5947627246433683456,269.1924102725571,-48.78177584496807,343.7822041109331,-11.79612574755939,2.3700206177575573,0.07982312,16.942455,2.3914967,1.2027717,0.6039,8.212315620639945,29.690904311401976
5947633121949124352,269.302501231341,-48.7267579329144,343.8665822976184,-11.83451731404781,1.5639862005805627,0.018796464,13.97612,0.8994589,0.99311054,0.2004,4.74688458429001,83.20640523561042
5947643674700173568,268.91312880929075,-49.04132955249695,343.4600726220882,-11.75597668896241,0.5409331627948263,0.014129898,13.6093235,0.50376797,0.99763495,0.3854,1.889641536969118,38.282878106751106
5947677759561600768,268.8115538172452,-48.694992871312415,343.7396737433022,-11.533666862500628,0.7464628209002098,0.032265346,14.877054,0.8967657,0.94255185,0.3195,3.9225949083964227,23.135125248624632
5947687964403983488,268.93947913859824,-48.433067271235146,344.0160757572193,-11.484520366341217,0.5127216985710429,0.0910941,17.157688,1.3798752,1.0181931,0.458,5.249096486658422,5.628484156175239
5947692907894321792,268.6541473018447,-48.53588445866498,343.83231710577115,-11.366633931681546,0.9468113171970032,0.042909577,16.095366,1.4405136,0.9256447,0.2213,5.755383201961368,22.06526802156552
5947708717682969984,269.8519708872104,-48.798115078533336,343.9739866591729,-12.188416421603312,0.647453676292651,0.059889697,16.350348,1.2347736,0.9209813,0.2039,5.202491505850101,10.8107689423216
5947731498189674112,269.3374158878679,-48.48344549970109,344.0973082664608,-11.741130155270486,0.2449326511469531,0.037615966,11.21195,3.0751286,1.0926213,,-1.8428165834056394,6.51140133279983
