gaia_source_id,gaia_ra,gaia_dec,gaia_l,gaia_b,gaia_parallax,gaia_parallax_error,gaia_phot_g_mean_mag,gaia_bp_rp,gaia_ruwe,gaia_ag_gspphot,gaia_abs_mag_g,gaia_parallax_over_error,asassn_asassn_id,asassn_ra,asassn_dec,asassn_asassn_mag,asassn_amplitude_asassn,asassn_period_asassn,asassn_class,asassn_Prob,asassn_HJD,asassn_Plx,asassn_e_Plx,asassn_pmRA,asassn_e_pmRA,asassn_pmDE,asassn_e_pmDE,asassn_Vt,asassn_Dist,asassn_WISEA,asassn_J-K,asassn_W1-W2,asassn_APASS,asassn_B-V,asassn_E(B-V),asassn_Ref,asassn_GaiaDR3,asassn_GALEX,asassn_TIC,asassn_pm,asassn_URL,asassn_2M,separation_arcsec,position_match_ok,gaia_asassn_mag_delta,magnitude_match_ok,color_match_ok,crossmatch_quality_ok
4471608550591210368,272.44706657874724,5.413999193146738,33.0447644542982,11.72150163674612,0.6395288166545574,0.017927086,14.148277,1.2070789,1.0642922,0.9305,2.2470775910796257,35.67388568641649,J180947.30+052450.5,272.4471,5.41402,14.41,0.09,0.80967,ROT,0.992,2458185.06947,0.6395,0.0179,-1.269,0.020,5.211,0.018,17.11743,1485.15222,J180947.29+052450.4,0.717,0.004,34443477,0.818,0.182,IX,4471608550591210368,J180947.2+052451,18571704,5.363,URL,2M,0.14127244195524824,True,0.26172299999999993,True,True,True
5094628535081272576,60.15144738812457,-19.035512157242312,212.7594326685316,-46.001444447033066,0.6231075641511438,0.020041516,14.239504,0.60121727,0.99511904,0.0026,3.209719116803117,31.090839842212723,J040036.34-190207.9,60.15141,-19.03553,14.3,0.46,0.38867,EW,1.000,2458133.76297,0.6231,0.0200,1.930,0.017,-1.795,0.019,8.37181,1492.29651,J040036.34-190207.7,0.309,-0.015,37689051,0.456,0.029,II,5094628535081272576,,178275175,2.636,URL,2M,0.14253158761109988,True,0.06049600000000055,True,True,True
5937170379829384192,250.1498915274409,-51.77726466853112,334.36916212167495,-3.477883997499443,0.6805924594310125,0.01835889,12.824978,0.99570465,1.0081674,1.2294,0.760013665279681,37.07154732290528,J164035.97-514638.0,250.14986,-51.77723,13.03,0.12,1.0401,EB,0.908,2458319.74518,0.6806,0.0184,-2.393,0.018,-8.814,0.015,30.45734,1421.35754,J164035.98-514638.0,0.357,-0.048,51375404,0.774,0.798,V,5937170379829384192,,37896778,9.133,URL,2M,0.14320659178271836,True,0.2050219999999996,True,True,True
5082752228953897216,58.90106382653264,-25.72428710515076,221.79678082966583,-48.97846825722623,0.2207287783347649,0.016741823,13.848924,0.56346226,1.3013599,1.3865,-0.8182812019489278,13.184273799499906,J035536.25-254327.3,58.90108,-25.72425,13.85,1.43,0.49868,RRAB,0.976,2457616.79008,0.2207,0.0167,3.241,0.010,-11.366,0.016,15.15244,3697.24707,J035536.25-254327.3,0.300,-0.013,37654240,0.420,0.016,I,5082752228953897216,,89264275,11.820,URL,2M,0.14350837528329383,True,0.0010759999999994108,True,True,True
5947605874681096832,269.7840293998558,-49.19443799647546,343.5930940133033,-12.33167054080544,0.2765132452479436,0.035436828,15.4149065,1.3508005,0.999218,,2.6234861962925535,7.802990867239687,J175908.17-491139.8,269.78405,-49.1944,15.95,0.34,1.7485,ROT,0.980,2457650.60565,0.2765,0.0354,-1.832,0.032,-3.293,0.026,5.51577,3238.30273,J175908.17-491139.8,0.724,-0.089,51609097,1.186,0.166,V,5947605874681096832,,381559932,3.768,URL,2M,0.14511883906537001,True,0.5350934999999986,True,True,True
5093213120018998784,65.81214599441468,-18.080162586859878,214.06839182017023,-40.63462741078164,1.123739274189567,0.016387388,14.17418,0.85646534,0.9913807,0.0033,4.424207797644066,68.57342208468897,J042314.91-180448.5,65.81211,-18.08014,14.31,0.56,0.31508,EW,1.000,2457276.76453,1.1237,0.0164,0.419,0.015,-10.488,0.016,58.00154,857.78375,J042314.91-180448.5,0.368,-0.017,37684581,0.669,0.039,II,5093213120018998784,J042314.9-180448,139650993,10.496,URL,2M,0.14759904185329129,True,0.13582000000000072,True,True,True
5542811052490737280,125.01422461298463,-36.97511009958123,255.2067043823379,-0.3513184658876635,0.3155359689953341,0.03539111,16.089464,1.5356226,1.083651,,3.5847083653778924,8.915684447177103,J082003.42-365830.5,125.01427,-36.97513,16.3,0.81,5.8577,EA,0.984,2457857.53965,0.3155,0.0354,-1.495,0.032,2.348,0.044,4.68301,2817.41919,J082003.41-365830.3,0.939,-0.073,,,1.042,II,5542811052490737280,,183091588,2.784,URL,2M,0.14890171367462723,True,0.21053600000000117,True,True,True
4470930839118488960,274.406451595932,5.804319019260225,34.28945870184989,10.152599223454374,0.0995021206563537,0.015895119,13.116395,2.9004889,1.1743366,,-1.8944433158925786,6.259916686144576,J181737.54+054815.6,274.40641,5.80432,14.54,0.23,41.442,SR,0.996,2457111.01957,0.0995,0.0159,-1.562,0.016,-5.563,0.016,4.12821,6634.42871,J181737.54+054815.6,1.199,-0.118,34428136,1.775,0.239,IX,4470930839118488960,,19960208,5.778,URL,2M,0.149019455190723,True,1.4236049999999985,True,True,True
5096144864695317376,61.4610302585817,-18.383196491708727,212.49132633514705,-44.61274529082478,1.1040835777447913,0.026077094,14.914955,1.0565014,1.0756613,0.2897,4.8402647509310555,42.33921071668458,J040550.64-182259.4,61.46099,-18.38318,15.11,0.2,2.9397,ROT,0.860,2458002.11295,1.1041,0.0261,12.167,0.022,-2.986,0.025,68.31405,869.26428,J040550.64-182259.7,0.577,-0.025,37694181,0.898,0.026,V,5096144864695317376,J040550.6-182259,178348245,12.528,URL,2M,0.14980205024466378,True,0.19504499999999858,True,True,True
4471648854565916672,272.757375064689,5.842597206404085,33.577272203748215,11.637139791832071,0.1693094829512244,0.025428073,11.667798,2.7759628,1.0567538,,-2.1887955828146852,6.658368605093449,J181101.76+055033.4,272.75734,5.84262,13.02,0.17,514.84,SR,0.995,2457879.91258,0.1693,0.0254,-0.799,0.025,-1.479,0.024,1.59811,4985.91846,J181101.76+055033.4,1.238,-0.129,34444722,1.701,0.189,IX,4471648854565916672,,18574592,1.681,URL,2M,0.15000986429114188,True,1.3522020000000001,True,True,True
5089195603313822976,61.603206145885046,-23.65885775736729,219.70066373575216,-46.0989196198314,0.479241894677452,0.0142746065,12.273621,0.4792347,1.087213,,0.6763948823814481,33.57303717461157,J040624.78-233931.9,61.60325,-23.65887,12.29,0.39,0.32708,RRC,0.999,2457376.76152,0.4792,0.0143,24.356,0.013,-3.248,0.014,59.98278,1941.71472,J040624.75-233931.8,0.219,-0.026,37671346,0.304,0.046,II,5089195603313822976,J040624.7-233932,178349470,24.572,URL,2M,0.15117290236074518,True,0.01637899999999881,True,True,True
5238322300990539008,166.6898167467537,-67.41303000748128,293.1144879609706,-6.558509594186962,0.3954601642273352,0.014869955,13.971534,1.5849228,1.0276421,0.6463,1.3107477118918354,26.59457706679914,J110645.53-672446.8,166.68972,-67.41301,14.5,0.18,84.456,ROT,0.995,2457717.85685,0.3955,0.0149,-15.097,0.020,4.763,0.019,32.29992,2323.12305,J110645.56-672446.9,0.822,-0.093,38590194,1.469,0.360,V,5238322300990539008,,400553845,15.831,URL,2M,0.15193077468421795,True,0.5284659999999999,True,True,True
5238397445739474944,168.11532206242802,-66.90526077189867,293.4316898797109,-5.876943338077614,0.1137014553430102,0.012393558,12.64381,2.356327,1.0401973,,-2.0773598822168413,9.17423836988621,J111227.67-665418.8,168.11529,-66.90522,13.56,0.24,426.09,SR,0.997,2458316.52056,0.1137,0.0124,-5.470,0.015,1.678,0.014,3.33613,8129.27441,J111227.69-665418.9,1.299,-0.045,38591606,2.118,0.460,V,5238397445739474944,,401073117,5.722,URL,2M,0.1536031100324535,True,0.9161900000000003,True,True,True
5093036992000262912,64.8082650814596,-19.03488457403905,214.8230715790081,-41.857422594535215,0.1854344547807513,0.023621429,12.69186,2.6275864,1.3352418,0.5353,-1.5024878414938674,7.850264045445824,J041913.98-190205.5,64.80831,-19.03488,13.84,0.77,,L,0.996,2458324.86967,0.1854,0.0236,0.743,0.020,0.166,0.021,0.75731,4765.07373,J041913.98-190205.6,1.209,0.003,37683928,1.815,0.051,I,5093036992000262912,,139577735,0.761,URL,2M,0.15374897932315182,True,1.1481399999999997,True,True,True
4469772812845225088,269.6152597313593,4.177128413456678,30.610086012814207,13.684216137475442,0.1971106563408587,0.017640967,11.442576,2.0556402,0.9923269,1.498,-3.5818734796953997,11.173460975288865,J175827.66+041037.8,269.61527,4.17717,12.29,0.1,57.247,SR,0.991,2457132.09151,0.1971,0.0176,-7.416,0.020,-9.327,0.018,12.85570,4393.50928,J175827.66+041037.7,1.101,-0.077,34395176,1.820,0.175,IX,4469772812845225088,,325833711,11.916,URL,2M,0.1541845203726172,True,0.8474239999999984,True,True,True
